Clock:Tick#;Clock:offsetTime;IMU_ATTI(0):Longitude;IMU_ATTI(0):Latitude;IMU_ATTI(0):press:D;IMU_ATTI(0):alti:D;IMU_ATTI(0):relativeHeight:C;IMU_ATTI(0):absoluteHeight:C;IMU_ATTI(0):numSats;IMU_ATTI(0):roll:C;IMU_ATTI(0):pitch:C;IMU_ATTI(0):yaw:C;IMU_ATTI(0):accelX;IMU_ATTI(0):accelY;IMU_ATTI(0):accelZ;IMU_ATTI(0):accelComposite:C;IMU_ATTI(0):gyroX;IMU_ATTI(0):gyroY;IMU_ATTI(0):gyroZ;IMU_ATTI(0):gyroComposite:C;IMU_ATTI(0):velN;IMU_ATTI(0):velE;IMU_ATTI(0):velD;IMU_ATTI(0):velComposite:C;IMU_ATTI(0):velH:C;IMU_ATTI(0):magX;IMU_ATTI(0):magY;IMU_ATTI(0):magZ;IMU_ATTI(0):magMod:C;IMU_ATTI(0):temperature;IMU_ATTI(0):yawUnWrapped:C;IMU_ATTI(0):tiltInclination:C;IMU_ATTI(0):tiltDirectionEarthFrame:C;IMU_ATTI(0):tiltDirectionBodyFrame:C;IMU_ATTI(0):yaw360:C;IMU_ATTI(0):magYaw:C;IMU_ATTI(0):Yaw-magYaw:C;IMUCalcs(0):PosN:C;IMUCalcs(0):PosE:C;IMUCalcs(0):PosD:C;IMUCalcs(0):height:C;IMUCalcs(0):velN:C;IMUCalcs(0):velE:C;IMUCalcs(0):velD:C;IMUCalcs(0):diffVelN:C;IMUCalcs(0):diffVelE:C;IMUCalcs(0):diffVelD:C;IMUCalcs(0):Lat:C;IMUCalcs(0):Long:C;IMUCalcs(0):VelocityError:C;IMUCalcs(0):PositionError:C;IMUCalcs(0):totalGyroZ:C;IMUCalcs(0):totalGyroX:C;IMUCalcs(0):totalGyroY:C;IMU_ATTI(0):distanceHP:C;IMU_ATTI(0):distanceTravelled:C;IMU_ATTI(0):directionOfTravel[mag]:C;IMU_ATTI(0):directionOfTravel[true]:C;IMU_ATTI(0):quatW:D;IMU_ATTI(0):quatX:D;IMU_ATTI(0):quatY:D;IMU_ATTI(0):quatZ:D;IMU_ATTI(0):agX:D;IMU_ATTI(0):agY:D;IMU_ATTI(0):agZ:D;IMU_ATTI(0):gbX:D;IMU_ATTI(0):gbY:D;IMU_ATTI(0):gbZ:D;IMU_ATTI(0):ty:D;IMU_ATTI(0):tz:D;IMU_ATTI(0):sensor_stat:D;IMU_ATTI(0):filter_stat:D;IMU_ATTI(0):atti_cnt:D;Controller:ctrl_tick:D;Controller:ctrl_pitch:D;Controller:ctrl_roll:D;Controller:ctrl_yaw:D;Controller:ctrl_thr:D;Controller:ctrl_mode;Controller:mode_switch:D;Controller:motor_state:D;Controller:sig_level:D;Controller:ctrl_level:D;Controller:sim_model:D;Controller:max_height:D;Controller:max_radius:D;Controller:D2H_x:D;Controller:D2H_y:D;Controller:act_req_id:D;Controller:act_act_id:D;Controller:cmd_mod:D;Controller:mod_req_id:D;Controller:is_soaring_up:D;Controller:eagle_temp_level:D;MVO:velX;MVO:velY;MVO:velZ;MVO:posX;MVO:posY;MVO:posZ;MVO:hoverPointUncertainty1;MVO:hoverPointUncertainty2;MVO:hoverPointUncertainty3;MVO:hoverPointUncertainty4;MVO:hoverPointUncertainty5;MVO:hoverPointUncertainty6;MVO:velocityUncertainty1;MVO:velocityUncertainty2;MVO:velocityUncertainty3;MVO:velocityUncertainty4;MVO:velocityUncertainty5;MVO:velocityUncertainty6;MVO:height;MVO:heightUncertainty;AirSpeed:comp_alti:D;AirSpeed:windSpeed;AirSpeed:windDirection;AirSpeed:windFromDir;AirSpeed:windN;AirSpeed:windE;AirSpeed:MotorSpd:D;AirSpeed:vel_level:D;ATTI_MINI0:s_qw0;ATTI_MINI0:s_qx0;ATTI_MINI0:s_qy0;ATTI_MINI0:s_qz0;ATTI_MINI0:roll:C;ATTI_MINI0:pitch:C;ATTI_MINI0:yaw:C;ATTI_MINI0:s_pgz0;ATTI_MINI0:s_vgz0;ATTI_MINI0:s_agz0;ATTI_MINI0:s_rsv00;ATTI_MINI0:s_rsv10;ATTI_MINI0:s_cnt0;osd_data:flyCState;osd_data:flycCommand;osd_data:flightAction;osd_data:nonGPSCause;osd_data:compassError;osd_data:connectedToRC;osd_data:lowVoltage;osd_data:ModeSwitch;osd_data:gpsUsed;osd_data:visionUsed;osd_data:notEnoughForce;osd_data:flightTime;osd_data:navHealth;osd_data:vpsHeight;osd_data:relativeHeight;usonic:usonic_h;MotorCtrl:PWM:RFront;MotorCtrl:PWM:LFront;MotorCtrl:PWM:LBack;MotorCtrl:PWM:RBack;Attribute|Value;ConvertDatV3;4.3.0
0;-1.809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8138474;.000;;;34.585.323;-0.0;;;0;NaN;0.0;0.0;-0.0075736986;0.01423629;-10.077.742;10.079.032;12.087.753;14.863.104;1.018.973;2.169.922;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;47.98;0.0;NaN;NaN;NaN;0.0;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;0.0;0.0;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;4615;0;0;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;;;;;;;;;;;;;Firmware Date| May  7 2019;;
8342641;.045;;;34.585.323;-0.0;;;0;NaN;0.0;0.0;-0.0075736986;0.01423629;-10.077.742;10.079.032;12.087.753;14.863.104;1.018.973;2.169.922;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;47.98;0.0;NaN;NaN;NaN;0.0;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;0.0;0.0;0.0;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;4615;0;0;39;10;0.0;0.0;0.0;0.0;Manual;0;0;0;0;0;500;5000;0.0;0.0;17;5;26;17;0;0;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;-0.0;0.0;0.0;0;0;20;;;;;;;;P;;;;;;;;;;;;;ACType|Tello;;
8607227;.104;;;3.456.947;-0.0;;;0;NaN;0.0;0.0;0.00540034;0.0043877726;-10.089.093;10.089.333;-12.318.025;0.95281404;0.65659475;16.900.617;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;48.13;0.0;NaN;NaN;NaN;0.0;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;0.01709875647279091;-0.03207806678588554;0.024812771038309478;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;4623;0;0;119;10;0.0;0.0;0.0;0.0;Manual;0;0;0;0;0;500;5000;0.0;0.0;17;5;26;17;0;0;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;-0.0;0.0;0.0;0;0;40;;;;;;;;P;;;;;;;;;;;;;;;
8811395;.150;;;3.456.947;-0.0;;;0;NaN;0.0;0.0;0.00540034;0.0043877726;-10.089.093;10.089.333;-12.318.025;0.95281404;0.65659475;16.900.617;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;48.13;0.0;NaN;NaN;NaN;0.0;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;0.01709875647279091;-0.03207806678588554;0.024812771038309478;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;4623;0;0;119;20;0.0;0.0;0.0;0.0;Manual;0;0;0;0;0;500;5000;0.0;0.0;17;5;26;17;0;0;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;0.0;0.0;0.0;0.0;NaN;NaN;NaN;-0.0;0.0;0.0;0;0;60;;;;;;;;P;;;;;;;;;;;;;;;
9076001;.208;;;34.566.826;-0.0;;;0;NaN;0.0;0.0;0.0057595707;0.0047056237;-1.006.413;10.064.405;-1.227.115;10.088.207;0.7045645;17.377.979;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;48.06;0.0;NaN;NaN;NaN;0.0;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;0.08235945933230937;-0.15819552902848955;0.1321998231586612;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;4622;0;0;199;20;0.0;0.0;0.0;0.0;Manual;0;0;0;0;0;500;5000;0.0;0.0;17;5;26;17;0;0;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;0.0;180.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;NaN;NaN;NaN;-0.0;0.0;0.0;0;0;80;;;;;;;;P;;;;;;;;;;;;;;;
9234631;.244;;;34.566.826;-0.0;;;0;NaN;0.0;0.0;0.0057595707;0.0047056237;-1.006.413;10.064.405;-1.227.115;10.088.207;0.7045645;17.377.979;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;48.06;0.0;NaN;NaN;NaN;0.0;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;0.08235945933230937;-0.15819552902848955;0.1321998231586612;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;4622;0;0;199;20;0.0;0.0;0.0;0.0;Manual;0;0;0;0;0;500;5000;0.0;0.0;17;5;26;17;0;0;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;0.0;180.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;NaN;NaN;NaN;-0.0;0.0;0.0;0;0;100;Manual;OTHER;NONE;GPS_POSITION_NONMATCH;FALSE;Connected;;P;FALSE;FALSE;TRUE;0;0;;0.0;;;;;;;;
9748913;.358;;;34.585.323;-0.0;;;0;NaN;0.0;0.0;0.0053297365;0.005535989;-10.097.812;10.098.104;-11.455.934;10.314.568;0.64972043;1.672.849;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;48.12;0.0;NaN;NaN;NaN;0.0;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;0.1176254666762162;-0.21998160569492597;0.1853292927347674;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;4622;0;0;239;30;0.0;0.0;0.0;0.0;Manual;0;0;0;0;0;500;5000;0.0;0.0;17;5;26;17;0;0;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;0.0;180.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;NaN;NaN;NaN;-0.0;0.0;0.0;0;0;100;Manual;OTHER;NONE;GPS_POSITION_NONMATCH;FALSE;Connected;;P;FALSE;FALSE;TRUE;0;0;;0.0;;;;;;;;
31836660;5.266;;;34.585.323;-0.0;;;0;NaN;0.0;0.0;0.0053297365;0.005535989;-10.097.812;10.098.104;-11.455.934;10.314.568;0.64972043;1.672.849;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;48.12;0.0;NaN;NaN;NaN;0.0;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;0.1176254666762162;-0.21998160569492597;0.1853292927347674;;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100;4622;0;0;239;30;0.0;0.0;0.0;0.0;Manual;0;0;0;0;0;500;5000;0.0;0.0;17;5;26;17;0;0;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;0.0;180.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;NaN;NaN;NaN;-0.0;0.0;0.0;0;0;100;Manual;OTHER;NONE;GPS_POSITION_NONMATCH;FALSE;Connected;;P;FALSE;FALSE;TRUE;0;0;;0.0;;;;;;;;
32046996;5.313;;;3.456.947;3.458.886;;;0;-0.23790027373758707;0.3116203725035199;-0.04189917414645055;0.0053889025;0.004156591;-10.081.013;10.081.244;-1.076.895;0.9773721;0.49127522;15.350.279;2,42E+03;-4,32E+02;7,91E+02;8,28E+02;2,46E+12;0;0;0;0.0;50.84;-0.04189917414645055;0.3920479111590995;-14.268.282.054.226.800;-14.264.092.136.812.200;35.995.810.082.585.300;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;30.001.142.948.465.000;-5.834.637.529.211.610;5.260.218.898.126.860;;0.0;;;0.9999941;-0.002075068;0.0027201504;-3,71E+03;-0.003602352;0.0028845519;-0.032693863;-0.021786382;0.017862996;0.010697613;200;4645;0;0;4131;30;0.0;0.0;0.0;0.0;Manual;0;0;0;0;0;500;5000;0.0;0.0;17;5;26;17;0;0;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;0.0;180.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;NaN;NaN;NaN;-0.0;0.0;0.0;0;0;100;Manual;OTHER;NONE;GPS_POSITION_NONMATCH;FALSE;Connected;;P;FALSE;FALSE;TRUE;0;0;;0.0;;;;;;;;
32248971;5.358;;;3.456.947;3.458.886;;;0;-0.23790027373758707;0.3116203725035199;-0.04189917414645055;0.0053889025;0.004156591;-10.081.013;10.081.244;-1.076.895;0.9773721;0.49127522;15.350.279;2,42E+03;-4,32E+02;7,91E+02;8,28E+02;2,46E+12;0;0;0;0.0;50.84;-0.04189917414645055;0.3920479111590995;-14.268.282.054.226.800;-14.264.092.136.812.200;35.995.810.082.585.300;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;30.001.142.948.465.000;-5.834.637.529.211.610;5.260.218.898.126.860;;0.0;;;0.9999941;-0.002075068;0.0027201504;-3,71E+03;-0.003602352;0.0028845519;-0.032693863;-0.021786382;0.017862996;0.010697613;200;4645;0;0;4131;520;0.0;0.0;0.0;0.0;GPS_Atti;2;0;0;0;0;10;5000;0.0;0.0;17;5;3;2;0;0;;;;;;;1,00E+01;0.0;8.527.817;1,00E+01;0.0;1,00E+01;1,00E+01;0.0;-0.011246955;1,00E+01;0.029240608;1,00E+01;-0.1;0.020000001;0.0;0.0;0.0;180.0;0.0;0.0;0.0;0;0.99999446;-0.0019523173;0.0026887332;-3,38E+02;0.22361428421197768;-0.3081838049010607;0.03932330656160969;34.749.073;-0.11021873;-0.06623863;0;0;2072;Manual;OTHER;NONE;GPS_POSITION_NONMATCH;FALSE;Connected;;P;FALSE;FALSE;TRUE;0;0;;0.0;0.1;;;;;;;
32415510;5.395;;;345.589;34.588.783;;;0;-0.23480354117206495;0.3142214733147235;-0.041227444035929366;0.0060807867;0.0033271152;-10.023.676;10.023.916;-11.748.066;11.745.784;0.58094126;17.599.142;2,36E+02;-2,52E+03;4,37E+03;5,57E+01;3,45E+11;0;0;0;0.0;51.06;-0.041227444035929366;0.3922570921751751;-14.327.224.438.405.500;-1.432.310.169.400.190;35.995.877.255.596.400;NaN;NaN;0.0;0.0;0.0;-0.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;FALSE;FALSE;3.028.048.699.158.050;-5.893.301.002.321.120;5.316.283.561.800.910;;0.0;;;0.9999941;-0.0020480517;0.0027428274;-3,65E+03;0.0058855414;-0.0066142837;0.027311325;-0.02177797;0.017858129;0.0106917145;300;4645;0;0;4171;520;0.0;0.0;0.0;0.0;GPS_Atti;2;0;0;0;0;10;5000;0.0;0.0;17;5;3;2;0;0;;;;;;;1,00E+01;0.0;8.527.817;1,00E+01;0.0;1,00E+01;1,00E+01;0.0;-0.011246955;1,00E+01;0.029240608;1,00E+01;-0.1;0.020000001;0.0;0.0;0.0;180.0;0.0;0.0;0.0;0;0.99999446;-0.0019112497;0.002712526;-3,52E+03;0.21890290686943917;-0.31091175625237655;0.040956919483283824;34.749.264;-0.11226203;-0.006036043;0;0;2092;Manual;OTHER;NONE;GPS_POSITION_NONMATCH;FALSE;Connected;;P;FALSE;FALSE;TRUE;0;0;;0.0;0.1;;;;;;;
